Sex,Age,Domicile,Major,GPA,SECA1,SECA2,SECA3,SECA4,SECA5,SECA6,SECA7,SECA8,SECA9,SECA10,SECA11,SECA12,SECA13,SECA14,SECA15,SECA16,SECA17,SECA18,SECA19,SECA20,SECA21
Male,18,Jawa,IPA,3.55,3,3,3,4,3,3,3,4,4,4,4,4,4,3,3,2,2,2,2,2,2
Male,21,Jawa,IPA,3.56,4,4,4,2,2,2,3,2,2,4,5,5,4,4,3,3,3,3,2,2,2
Male,21,Jawa,IPA,4,3,4,3,3,3,3,3,3,3,3,2,2,3,3,3,1,2,2,3,3,4
Female,23,Luar Jawa,IPA,4,5,5,5,5,5,5,4,4,4,5,5,5,3,4,3,1,2,1,5,4,5
Male,19,Luar Jawa,IPA,3.78,4,4,3,4,4,3,4,4,5,3,3,4,4,4,4,2,3,3,4,4,4
Female,19,Luar Jawa,IPS,3.57,3,3,2,4,2,3,3,2,2,4,3,3,2,2,3,1,2,2,5,5,4
Male,19,Jawa,IPA,3.85,3,4,3,2,3,2,2,2,3,4,4,3,4,4,4,3,4,4,2,3,2
Female,19,Jawa,IPS,3.63,3,3,3,3,3,3,3,4,3,4,3,4,4,3,3,3,3,3,3,3,3
Male,19,Jawa,IPS,3.7,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,5,4,4,4,4,4
Male,18,Jawa,IPA,3.2,4,4,4,3,4,3,2,2,2,3,3,3,3,2,3,2,3,2,4,3,3
Female,19,Luar Jawa,IPS,2.75,3,3,3,4,4,3,5,5,5,3,3,3,5,3,3,4,5,4,3,3,2
Male,21,Jawa,IPS,3.68,4,4,3,5,5,5,4,4,5,4,4,5,5,4,5,4,3,3,4,3,3
Male,18,Luar Jawa,IPS,3.78,4,4,3,3,3,2,4,5,5,3,3,2,4,4,3,3,4,3,3,3,3
Female,19,Luar Jawa,IPA,3.71,3,3,3,4,4,3,4,4,4,4,4,4,4,3,4,4,4,3,4,4,5
Male,19,Jawa,IPS,3.8,4,5,4,4,3,4,4,4,5,4,5,5,3,4,4,4,5,4,3,3,3
Female,19,Jawa,IPA,3.39,4,4,4,4,4,4,3,4,3,4,4,4,4,3,4,3,4,4,3,4,4
Male,18,Jawa,IPA,3,4,4,3,3,4,4,4,5,4,5,5,5,5,4,4,4,4,2,4,4,4
Male,19,Jawa,IPA,3.56,4,3,3,3,4,3,4,4,4,4,4,4,4,4,4,3,3,2,4,4,4
Male,21,Jawa,IPS,2.7,3,3,2,1,2,1,3,3,4,3,3,3,3,2,3,1,2,1,4,5,4
Male,19,Luar Jawa,IPS,3.5,3,3,3,4,4,3,5,5,5,5,5,4,4,4,4,4,5,4,3,3,3
Male,19,Jawa,IPA,3.44,3,4,3,4,4,3,3,4,4,5,5,5,3,3,3,4,4,4,3,4,4
Female,19,Luar Jawa,IPA,3.73,4,3,4,2,3,2,3,4,4,3,3,2,4,4,4,2,2,3,3,4,4
Male,20,Luar Jawa,IPA,3.91,5,5,4,3,3,3,4,5,5,4,4,5,4,4,5,4,4,4,4,3,4
Female,19,Jawa,IPA,3.03,4,4,4,5,5,4,4,4,4,4,3,4,5,4,4,4,5,5,4,3,3
Male,18,Jawa,Others,3.7,4,4,3,3,4,4,4,4,4,4,4,5,4,4,3,4,4,4,4,3,3
Female,19,Jawa,Others,3.9,4,4,4,3,4,4,2,2,2,4,3,4,4,4,3,4,4,4,4,4,2
Female,19,Jawa,IPA,3.92,4,4,2,3,4,3,3,4,2,1,1,1,4,3,5,4,4,4,1,1,2
Female,20,Jawa,IPA,3.65,4,3,3,3,4,3,3,4,4,5,5,4,3,3,4,4,5,4,4,3,4
Female,19,Luar Jawa,IPA,3.76,1,1,1,2,3,2,4,4,4,4,4,4,4,3,4,2,3,2,2,2,2
