Sex,Age,Domicile,Major,GPA,SECA1,SECA2,SECA3,SECA4,SECA5,SECA6,SECA7,SECA8,SECA9,SECA10,SECA11,SECA12,SECA13,SECA14,SECA15,SECA16,SECA17,SECA18,SECA19,SECA20,SECA21,SE-Gf,SE-Gwm ,SE-Glr,SE-Gv,SE-Gc,SE-Ga,SE-Gs,SR-Gf,SR-Gwm,SR-Glr,SR-Gv,SR-Gc,SR-Ga,SR-Gs
Male,19,Jawa,Others,3.6,3,4,3,4,5,4,3,5,5,5,5,5,3,4,4,4,5,3,5,3,5,90,124,91,120,96,124,88,10,13,13,15,11,12,13
Female,21,Jawa,IPA,3.55,2,3,3,4,3,4,2,2,2,2,2,3,2,3,2,4,2,4,2,2,2,77,123,126,88,83,126,83,8,11,6,7,7,10,6
Female,20,Jawa,Others,3.32,4,3,2,3,4,3,3,4,4,4,2,4,3,4,4,3,3,2,3,3,3,124,91,92,125,89,89,89,9,10,11,10,11,8,9
Male,20,Jawa,IPA,3.7,4,5,5,3,3,3,2,1,2,3,3,3,4,4,4,4,4,4,3,3,5,128,89,92,95,130,119,88,14,9,5,9,12,12,11
Female,20,Luar Jawa,Others,3.75,3,3,3,1,2,1,2,2,2,1,1,1,4,3,2,2,2,2,4,3,3,88,74,82,78,123,88,92,9,4,6,3,9,6,10
Male,18,Jawa,IPS,3.2,3,4,2,2,3,3,3,3,4,4,3,2,3,3,3,3,4,2,3,3,2,94,87,89,121,95,95,91,9,8,10,9,9,9,8
Female,19,Jawa,Others,3,4,3,4,3,3,2,3,2,3,2,2,3,3,3,3,2,3,3,4,4,3,131,89,92,80,92,87,120,11,8,8,7,9,8,11
Female,20,Jawa,IPA,3.25,5,5,5,2,4,2,1,1,2,2,4,4,4,4,5,4,4,2,4,5,5,124,86,90,84,122,123,124,15,8,4,10,13,10,14
Female,18,Luar Jawa,IPA,3.85,4,3,3,3,4,3,3,3,2,4,4,3,3,3,3,4,4,4,5,5,3,126,94,96,117,88,130,129,10,10,8,11,9,12,13
Male,19,Jawa,IPA,3.55,3,3,3,3,3,3,2,4,4,3,3,4,4,3,3,3,4,3,3,3,2,95,93,79,93,126,90,92,9,9,10,10,10,10,8
Female,18,Jawa,IPS,3.74,3,3,4,4,5,4,4,5,3,2,2,3,3,3,4,4,3,2,3,3,3,92,123,125,81,93,124,86,10,13,12,7,10,9,9
Male,19,Luar Jawa,IPA,3.39,2,3,4,2,3,1,2,3,4,3,4,5,4,3,3,2,4,2,3,2,3,82,84,86,97,122,86,91,9,6,9,12,10,8,8
Female,19,Jawa,Others,3.4,3,4,3,4,3,4,3,4,4,4,4,4,3,3,4,4,3,2,3,3,4,92,123,95,122,93,125,95,10,11,11,12,10,9,10
Female,22,Luar Jawa,IPS,3.29,3,3,4,2,4,3,3,4,3,3,3,2,3,3,4,4,3,2,2,2,2,94,83,93,101,94,123,79,10,9,10,8,10,9,6
Female,20,Jawa,IPA,3.8,3,3,2,4,3,2,2,3,5,4,4,3,3,3,4,2,3,3,3,4,2,89,123,79,128,96,87,125,8,9,10,11,10,8,9
Male,20,Jawa,IPA,3.25,5,4,5,2,2,1,3,5,5,5,5,5,5,4,4,5,5,5,5,5,4,123,122,89,127,121,75,125,14,5,13,15,13,15,14
Male,20,Jawa,IPS,3.61,4,4,2,4,5,3,5,3,3,2,2,3,4,3,3,3,4,2,3,3,5,122,128,126,84,128,92,86,10,12,11,7,10,9,11
Female,21,Jawa,IPA,3.33,3,3,4,4,4,2,4,4,5,3,3,4,3,3,3,2,4,3,3,3,3,95,118,125,90,95,82,91,10,10,13,10,9,9,9
Male,19,Luar Jawa,IPA,3.61,4,4,2,4,3,2,4,4,2,4,3,4,3,4,2,4,4,4,2,4,2,129,121,126,123,88,128,124,10,9,10,11,9,12,8
Male,19,Jawa,Others,3.75,3,3,3,3,3,2,2,2,3,3,2,3,3,3,3,3,3,2,3,3,2,92,91,78,97,93,91,88,9,8,7,8,9,8,8
Female,20,Jawa,IPA,3.3,4,3,3,4,4,4,3,4,5,4,4,5,4,3,5,4,4,3,4,4,4,123,124,95,123,121,120,117,10,12,12,13,12,11,12
Female,20,Luar Jawa,IPA,3.13,2,3,3,4,4,4,3,4,4,4,3,2,3,2,4,3,4,2,3,3,4,81,125,89,124,98,96,94,8,12,11,9,9,9,10
Male,19,Jawa,IPS,3.4,4,3,3,3,3,3,3,3,3,3,4,4,3,3,4,3,3,2,3,2,2,125,90,95,95,95,91,82,10,9,9,11,10,8,7
Female,19,Jawa,IPA,3.4,4,4,3,3,4,2,4,4,5,4,4,4,4,3,4,4,4,4,3,4,5,124,94,122,121,126,126,118,11,9,13,12,11,12,12
Female,20,Jawa,Others,3.6,4,4,3,3,4,4,2,2,2,2,2,1,4,3,4,2,2,4,4,3,3,123,98,85,82,121,84,96,11,11,6,5,11,8,10
Male,19,Jawa,IPA,3.72,3,3,4,3,3,3,3,3,3,4,5,5,3,3,4,2,4,4,3,4,4,93,92,86,122,90,79,128,10,9,9,14,10,10,11
Female,19,Jawa,IPA,3.8,4,3,3,3,3,3,3,3,3,3,3,3,2,2,4,3,3,3,3,3,3,127,96,88,90,85,86,94,10,9,9,9,8,9,9
Male,19,Jawa,IPA,2.9,4,4,4,4,4,2,3,4,5,3,4,4,3,3,4,4,3,4,4,3,4,126,123,89,90,95,123,95,12,10,12,11,10,11,11
Female,19,Jawa,IPS,3.83,4,4,3,3,4,3,3,3,5,4,3,4,3,3,4,4,3,3,3,3,3,125,97,93,120,95,128,97,11,10,11,11,10,10,9
Female,19,Jawa,IPA,4,3,4,3,2,3,3,4,4,4,3,3,4,4,3,4,3,4,2,3,3,4,92,86,127,96,122,97,96,10,8,12,10,11,9,10
Female,18,Luar Jawa,IPA,3.47,4,3,3,2,3,2,3,4,4,4,4,2,3,3,3,2,3,2,3,4,4,120,86,93,129,95,84,129,10,7,11,10,9,7,11
Male,20,Jawa,Others,3.61,2,2,3,3,3,2,5,5,5,2,3,2,1,2,2,2,2,2,3,3,3,84,97,85,79,82,81,96,7,8,15,7,5,6,9
Female,19,Jawa,IPA,3.7,3,2,3,2,4,3,4,4,4,2,2,3,3,4,4,4,4,2,4,3,3,86,80,129,87,92,116,91,8,9,12,7,11,10,10
Male,19,Jawa,IPS,3.2,3,4,3,3,4,3,5,5,5,4,4,5,4,3,3,3,5,5,3,3,4,85,87,84,125,119,93,93,10,10,15,13,10,13,10
Male,19,Jawa,IPS,3.7,3,3,2,3,4,2,2,2,4,3,3,3,3,2,3,3,4,2,3,3,2,88,94,80,88,93,96,93,8,9,8,9,8,9,8
Male,20,Jawa,Others,2.21,3,3,4,4,4,4,4,3,3,3,3,4,3,3,3,3,3,3,3,3,3,93,125,119,94,92,94,91,10,12,10,10,9,9,9
Male,19,Jawa,IPA,3.6,3,3,4,3,4,2,3,5,5,3,4,3,3,3,3,2,4,3,2,3,3,88,89,85,88,84,85,92,10,9,13,10,9,9,8
Female,20,Jawa,IPA,3.86,4,4,3,2,4,2,3,2,4,4,2,3,2,3,4,2,3,2,4,2,3,127,81,88,124,83,88,85,11,8,9,9,9,7,9
Female,19,Jawa,IPS,3.54,3,4,2,3,4,2,4,4,4,1,1,2,5,4,4,2,4,3,4,2,3,88,94,76,100,124,81,82,9,9,12,4,13,9,9
Male,19,Luar Jawa,Others,2.55,3,2,2,2,2,2,2,2,2,4,3,4,4,2,2,2,3,2,3,2,2,94,82,85,123,127,83,83,7,6,6,11,8,7,7
Female,19,Jawa,IPA,3.67,3,3,4,3,4,4,3,4,3,4,4,3,3,3,4,3,3,2,4,2,3,93,89,86,128,94,90,84,10,11,10,11,10,8,9
Female,19,Jawa,IPA,3.4,4,4,4,4,4,4,3,4,3,3,4,4,3,3,4,3,5,4,5,5,4,117,120,92,94,94,93,130,12,12,10,11,10,12,14
Male,18,Luar Jawa,IPA,3.75,4,4,4,3,5,4,4,5,5,5,5,5,3,4,4,3,4,3,4,5,5,123,94,122,118,96,100,122,12,12,14,15,11,10,14
Female,19,Jawa,IPS,3,3,3,3,4,4,4,4,4,4,4,3,3,3,4,4,3,3,2,4,4,4,94,125,129,128,92,92,126,9,12,12,10,11,8,12
Female,20,Jawa,IPA,3,3,4,4,5,5,4,4,5,5,3,3,4,3,4,4,5,5,3,4,5,4,94,130,123,90,97,122,131,11,14,14,10,11,13,13
Female,18,Jawa,IPS,3.78,3,4,1,4,4,3,4,4,4,3,3,3,3,3,4,2,2,3,4,3,2,87,125,124,92,91,88,96,8,11,12,9,10,7,9
Male,19,Jawa,IPA,3.2,4,3,3,4,5,4,3,4,4,4,4,5,4,4,4,4,4,3,4,4,4,117,122,91,125,116,126,129,10,13,11,13,12,11,12
Female,20,Jawa,IPA,3.3,3,3,3,4,3,3,3,5,5,3,3,3,4,3,3,3,3,3,3,3,2,89,125,92,87,124,99,91,9,10,13,9,10,9,8
Female,19,Jawa,IPS,3.63,4,4,4,3,4,4,3,5,4,5,4,2,3,4,4,3,4,3,4,4,3,117,93,92,123,92,91,121,12,11,12,11,11,10,11
Female,18,Jawa,IPA,3.9,2,2,3,2,4,3,4,4,4,4,2,3,3,3,4,2,4,4,4,3,4,81,83,120,125,97,82,90,7,9,12,9,10,10,11
Female,19,Jawa,Others,3.9,4,4,4,3,4,4,5,5,5,5,4,5,4,4,3,4,4,3,4,4,3,120,90,131,128,125,119,126,12,11,15,14,11,11,11
Female,19,Jawa,IPA,3.55,3,4,3,4,4,3,5,5,4,4,4,3,4,3,4,3,2,2,3,4,4,95,124,126,120,121,98,121,10,11,14,11,11,7,11
Male,19,Luar Jawa,IPS,4,5,3,2,4,5,4,5,5,4,5,5,5,2,3,5,4,5,4,2,2,2,123,120,126,126,85,123,83,10,13,14,15,10,13,6
Female,22,Jawa,IPA,3.65,4,4,3,4,4,3,3,4,3,3,3,3,2,3,3,2,4,3,3,2,2,120,124,91,94,81,83,89,11,11,10,9,8,9,7
Male,18,Luar Jawa,IPA,2.87,4,4,4,3,4,4,3,3,3,4,4,4,3,3,3,4,4,2,3,3,3,125,92,99,126,95,125,90,12,11,9,12,9,10,9
Female,20,Luar Jawa,Others,3.41,3,3,3,3,4,2,3,3,3,4,4,4,4,3,3,2,3,1,3,3,3,90,90,86,128,123,79,93,9,9,9,12,10,6,9
Female,19,Jawa,IPA,3.8,4,5,3,4,4,4,3,3,5,4,4,3,3,4,4,4,3,3,3,4,3,124,127,90,130,90,127,121,12,12,11,11,11,10,10
Male,19,Luar Jawa,IPS,3.38,4,3,5,2,2,5,4,3,4,5,5,5,5,4,4,3,4,4,2,2,3,120,83,122,130,124,85,79,12,9,11,15,13,11,7
Female,20,Jawa,IPA,3.5,3,3,4,4,4,3,5,5,5,5,4,5,4,4,4,4,4,4,4,4,3,90,123,122,122,128,127,127,10,11,15,14,12,12,11
Female,20,Luar Jawa,IPA,4,4,3,3,2,5,2,3,3,3,4,3,4,3,3,4,2,3,3,4,3,4,126,81,88,124,122,84,89,10,9,9,11,10,8,11
